--------- beginning of system
12-27 11:28:13.218   982   982 I Leopard : ** build version : [20221118104802] **
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): lge.bootmode= doesn't exist in [/proc/cmdline]
12-27 11:28:13.224   982   982 I Leopard : get_cmdline_value(): find [lge.bootmode=] in [/tmp/bootmode_cmd]
12-27 11:28:14.942  1524  1524 E WIFI    : > Modified : [STA][VT-5055] Modified wpa_supplicant.conf recovery logic when /data is full
12-27 11:28:14.942  1524  1524 E WIFI    : > Last Modified Date(P2P) : 2022_06_29
12-27 11:28:14.942  1524  1524 E WIFI    : > Modified : [P2P][VT-4968] add Null check for VehicleStatusMgrService
12-27 11:28:14.942  1524  1524 E WIFI    : onStart
12-27 11:28:14.943  1524  1643 E WIFI    : initWiFiService()
12-27 11:28:14.943  1524  1643 E WIFI    : WiFiSOTAData() init
12-27 11:28:14.943  1524  1643 E WIFI    : eraseAllNetworkListNoInet()
12-27 11:28:14.943  1524  1643 E WIFI    : startWiFiService()
12-27 11:28:14.987  1535  1644 E POWER   : readOperationMode : op mode : 4
12-27 11:28:14.993  1524  1643 E WIFI    : checkIsValidMACAddress() saved MAC Address(E8:84:A5:2D:28:96) is VALID MAC
12-27 11:28:14.996  1524  1643 E WIFI    : Connected To Application Mgr!
12-27 11:28:15.038  1524  1643 E WIFI    : Factory Mode Booting
12-27 11:28:15.039  1524  1643 E WIFI    : getWiFiDriverState() currently wlan driver is unloaded
12-27 11:28:15.050   979  1596 E CSE     : SPIClient(): CB_CMD_COMM_CSE_ACTIVATION Called!
12-27 11:28:15.050   979  1596 E CSE     : SPIClient(): activateService(): Under Synchronization
12-27 11:28:15.330   979  1094 E CSE     : SPIClient(): STEP[8/10] SPI Ready and Notify to CommManager!
12-27 11:28:15.330   979  1094 E CSE     : SPIClient(): setupTask_notifyCseReady()
12-27 11:28:15.330   979  1094 E CSE     : SPIClient(): STEP[9/10] Ready for ComManager
12-27 11:28:15.760  1542  1542 E DIAG    : DiagManagerservice onStart hoho
12-27 11:28:15.950   979  1596 E CSE     : SPIClient(): CB_CMD_COMM_CSE_ACTIVATION Called!
12-27 11:28:16.172  1647  1699 D PosixCmd: run [run_cmd][echo 'options timeout:2 attempts:1
12-27 11:28:16.172  1647  1699 D PosixCmd: nameserver 127.0.0.1
12-27 11:28:16.172  1647  1699 D PosixCmd: ' > /etc/resolv.conf], (0)
12-27 11:28:16.361   979  1094 E CSE     : SPIClient(): onServiceChanged(): Service ID->140 is State->2
12-27 11:28:16.361   979  1094 E CSE     : SPIClient(): STEP[6/10] Service ID not match(eventSid(140), spiSid(121))!!
12-27 11:28:16.361   979  1596 E CSE     : SPIClient(): STEP[10/10] activateService() done! spi_sid(121)
12-27 11:28:16.361   979  1596 E CSE     : SPIClient(): setupTask_notifyCseActivated()
12-27 11:28:16.361   979  1596 E CSE     : SPIClient(): setupTask_notifyCseActivated() done!!
12-27 11:28:17.280  1734  1747 E TELE    : UNSOL_RIL_CONNECTED {13}
12-27 11:28:17.355  1734  1744 E TELE    : GET_SIM_STATUS > [20]
12-27 11:28:17.355  1734  1744 E TELE    : GET_CURRENT_CALLS > [21]
12-27 11:28:17.564  1734  1744 E TELE    : SST(RAW)[CS:0->5][PS:0->2]
12-27 11:28:17.564  1734  1744 E TELE    : RAT switched Unknown -> GSM at cell 30652
12-27 11:28:17.568  1734  1744 E TELE    : [setupDataOnConnectableApns] reason[roamingOn]
12-27 11:28:17.740  1734  1747 E TELE    : GET_SIM_STATUS < [20] CARDSTATE_PRESENT 0
12-27 11:28:17.740  1734  1747 E TELE    : GET_CURRENT_CALLS < [21]  
12-27 11:28:17.763  1734  1744 E TELE    : GET_SIM_ACTIVE_PROFILE > [28]
12-27 11:28:17.802  1734  1747 E TELE    : GET_SIM_ACTIVE_PROFILE < [28] {1}
12-27 11:28:17.803  1734  1744 E TELE    : IMSI[1]: 204080932744980
12-27 11:28:17.907  1718  1768 E DIAG    : (cycle)--> notify DTC. antenna(0), adc(471693) dtc(3), dfc(50), cond(1) cycle status(3), gnss(8)
12-27 11:28:17.937  1734  1744 E TELE    : ICCID[1]: 8931070322327449808
12-27 11:28:17.955  1718  1768 E DIAG    : (cycle)--> notify DTC. antenna(1), adc(474048) dtc(3), dfc(50), cond(1) cycle status(3), gnss(8)
12-27 11:28:17.955  1718  1768 E DIAG    : (cycle)--> notify DTC. antenna(2), adc(29721) dtc(3), dfc(50), cond(1) cycle status(3), gnss(8)
12-27 11:28:17.955  1718  1768 E DIAG    : (cycle)--> notify DTC. antenna(3), adc(471693) dtc(3), dfc(50), cond(1) cycle status(3), gnss(8)
12-27 11:28:17.955  1718  1768 E DIAG    : (non-cycle)--> notify DTC. antenna(0), adc(471693), dtc(3), dfc(6), power(1), gnss(8)
12-27 11:28:17.956  1718  1768 E DIAG    : (non-cycle)--> notify DTC. antenna(1), adc(474048), dtc(3), dfc(6), power(1), gnss(8)
12-27 11:28:17.956  1718  1768 E DIAG    : (non-cycle)--> notify DTC. antenna(2), adc(29721), dtc(3), dfc(6), power(1), gnss(8)
12-27 11:28:17.956  1718  1768 E DIAG    : (non-cycle)--> notify DTC. antenna(3), adc(471693), dtc(3), dfc(6), power(1), gnss(8)
12-27 11:28:18.066  1734  1744 E TELE    : MSISDN[1]: 
12-27 11:28:18.748  1734  1744 E TELE    : APN[0:ccar-test.jlrext.com default TCU4LGEDEV003]
12-27 11:28:18.761  1734  1744 E TELE    : APN[1:sota.jlrext.com apn1 jlr]
12-27 11:28:18.765  1734  1744 E TELE    : APN[2:0 apn2 0]
12-27 11:28:18.766  1734  1744 E TELE    : APN[3:0 apn3 0]
12-27 11:28:18.787  1734  1744 E TELE    : [setupDataOnConnectableApns] reason[simLoaded]
12-27 11:28:18.816  1549  1809 E POWER   : Power mode is started at NORMAL
12-27 11:28:18.880  1549  1809 E POWER   : Power mode is changed to NORMAL from NORMAL at timer[UNKNOWN]-TM_STATUS_UNKNOWN (0s)
12-27 11:28:19.207  1549  1810 E POWER   : processVehicleVoltage : 11.960000
12-27 11:28:19.225  1549  1810 E POWER   : performEventFromMCU - wakeup reason 1
12-27 11:28:19.747  1718  1815 E DIAG    : (cycle)--> notify DTC. antenna(0), adc(471987) dtc(3), dfc(127), cond(1) cycle status(3), gnss(8)
12-27 11:28:19.748  1718  1815 E DIAG    : (cycle)--> notify DTC. antenna(1), adc(474048) dtc(3), dfc(127), cond(1) cycle status(3), gnss(8)
12-27 11:28:19.748  1718  1815 E DIAG    : (cycle)--> notify DTC. antenna(2), adc(29721) dtc(3), dfc(127), cond(1) cycle status(3), gnss(8)
12-27 11:28:19.748  1718  1815 E DIAG    : (cycle)--> notify DTC. antenna(3), adc(471693) dtc(3), dfc(127), cond(1) cycle status(3), gnss(8)
12-27 11:28:21.464  1524  1643 E WIFI    : factory insmod result = OK
12-27 11:28:21.465  1524  1643 E WIFI    : LOAD_WIFI_FTM_DRV_SUCCESS
12-27 11:28:21.465  1524  1643 E WIFI    : reqFactoryPayload() payload:myftm -f2442 -a1 -M1 -r22 -p13 -t3
12-27 11:28:21.471  1524  1643 E WIFI    : sendCommand() wait response
12-27 11:28:21.850  1524  1643 E WIFI    : sendCommand() : return value 48
12-27 11:28:21.850  1524  1643 E WIFI    : sendCommand() : return atoi() value 0
12-27 11:28:21.850  1524  1643 E WIFI    : reqFactoryPayload() i = 3, strType = -t3, sendRetVal = 1
12-27 11:28:21.850  1524  1643 E WIFI    : reqFactoryPayload() request payload : 6
12-27 11:28:21.850  1524  1643 E WIFI    : startWiFiService() waiting for Boot Complete ...
12-27 11:28:22.515  1549  1712 E POWER   : Power Timer is updated :PwmSleepTime status:TM_STATUS_STARTED (10479s)
12-27 11:28:22.537  1549  1712 E POWER   : changePowerSource: newPowersource 1 mCurrentPowerSource :0
12-27 11:28:23.181  1549  1810 E POWER   : calculateBUBPercent : volt 0.000000, percent 0.000000
12-27 11:28:25.405  1524  1645 E WIFI    : SYS_POST_BOOT_COMPLETED_PRE: 0x00000001
12-27 11:28:25.405  1524  1643 E WIFI    : getBootCompletedStatus() started
12-27 11:28:25.407  1524  1645 E WIFI    : register WiFi Station Receiver(), type:1
12-27 11:28:25.407  1524  1645 E WIFI    : WiFi Station receiver register count = 1
12-27 11:28:25.414  1524  1643 E WIFI    : Connected To Vehcle Status Mgr!
12-27 11:28:25.417  1549  1712 E POWER   : performEventFromMCU - wakeup reason 1
12-27 11:28:25.424  1718  1730 E DIAG    : OK - onAntennaReceived antenna_mode(0) caller pid(1542) who(1)
12-27 11:28:25.424  1718  1730 E DIAG    : OK - onAntennaReceived antenna_mode(1) caller pid(1542) who(1)
12-27 11:28:25.424  1718  1730 E DIAG    : OK - onAntennaReceived antenna_mode(2) caller pid(1542) who(1)
12-27 11:28:25.424  1718  1730 E DIAG    : OK - onAntennaReceived antenna_mode(3) caller pid(1542) who(1)
12-27 11:28:25.429  1524  1643 E WIFI    : getAllowWifiClientConfig() read value from VSM : true
12-27 11:28:25.429  1524  1643 E WIFI    : getAllowWifiClientConfig() AllowWifiClient=TRUE
12-27 11:28:25.429  1524  1643 E WIFI    : Connected To Power Mgr for Power State / PSM Receiver!
12-27 11:28:25.437  1524  1643 E WIFI    : connectToPowerMgr() registerPowerStateReceiver(): Completed
12-27 11:28:25.437  1524  1643 E WIFI    : connectToPowerMgr() registerPSMStateNotifier(): Completed
12-27 11:28:25.438  1524  1643 E WIFI    : connectToPowerMgr() registerTeleVMStateNotifier(): Completed
12-27 11:28:25.439  1524  1643 E WIFI    : Connected To CAN Mgr for CAN Bus / Signal!
12-27 11:28:25.446   985  1559 E DIAG    : appDTC dtcId 0x9a56 faultType 0x13 faultCnt 127
12-27 11:28:25.448   985  1559 E DIAG    : appDTC dtcId 0x9d55 faultType 0x13 faultCnt 127
12-27 11:28:25.459  1524  1643 E WIFI    : connectToCANMgr() registerReceiver(): Completed
12-27 11:28:25.460  1524  1643 E WIFI    : connectToCANMgr() registerCANBusReceiver(): Completed
12-27 11:28:25.462  1524  1643 E WIFI    : Connected To Network Mgr for checking Internet Availability!
12-27 11:28:25.463  1524  1643 E WIFI    : connectToNetworkMgr() registerReceiver(): Completed
12-27 11:28:25.463  1524  1643 E WIFI    : getBootCompletedStatus() try to get initial CAN BUS / PowerMode Info
12-27 11:28:25.473   985  1559 E DIAG    : appDTC dtcId 0x919f faultType 0x13 faultCnt 127
12-27 11:28:25.488   985  1559 E DIAG    : appDTC dtcId 0x94b5 faultType 0x13 faultCnt 127
12-27 11:28:25.512   985  1559 E DIAG    : appDTC dtcId 0x916f faultType 0x0 faultCnt -128
12-27 11:28:25.519  1542  1862 E DIAG    : PM is updated previous[0], new[0]
12-27 11:28:25.546   985  1504 E CSE     : AppEvent[41b3] data not match sent[32] read[32] try Again AppEvent
12-27 11:28:25.548   985  1504 E CSE     : AppEvent[41b3] error confirmed
12-27 11:28:25.599  1863  1877 E APP     : [PROV] provisioning started
12-27 11:28:25.600  1863  1877 E APP     : [PROV] Registered service name: service_layer.AlarmManagerService
12-27 11:28:25.601  1863  1877 E APP     : [PROV] Registered service name: service_layer.ApplicationManagerService
12-27 11:28:25.602  1863  1877 E APP     : [PROV] Registered service name: service_layer.CANManagerService
12-27 11:28:25.602  1863  1877 E APP     : [PROV] Registered service name: service_layer.DiagManagerService
12-27 11:28:25.602  1863  1877 E APP     : [PROV] Registered service name: service_layer.HMIManagerService
12-27 11:28:25.603  1863  1877 E APP     : [PROV] Registered service name: service_layer.LocationManagerService
12-27 11:28:25.603  1863  1877 E APP     : [PROV] Registered service name: service_layer.NetworkManagerService
12-27 11:28:25.604  1863  1877 E APP     : [PROV] Registered service name: service_layer.NGTPManagerService
12-27 11:28:25.606  1863  1877 E APP     : [PROV] Registered service name: service_layer.OperationModeManagerService
12-27 11:28:25.606  1863  1877 E APP     : [PROV] Registered service name: service_layer.PowerManagerService
12-27 11:28:25.608  1863  1877 E APP     : [PROV] Registered service name: service_layer.TelephonyRegistry
12-27 11:28:25.609  1863  1877 E APP     : [PROV] Registered service name: service_layer.VehicleStatusManagerService
12-27 11:28:25.609  1863  1877 E APP     : [PROV] Registered service name: service_layer.WiFiManagerService
12-27 11:28:25.609  1863  1877 E APP     : [PROV] Registered service name: service_layer.SOTAManagerService
12-27 11:28:25.771  1538  1659 E SOTA    : Fail to read ENGINEBLOCKIGNTIMES in kvDB
12-27 11:28:25.786   985  1504 E DIAG    : notifyCseServiceActivated
12-27 11:28:26.108   986  1641 E SOTA    : registerSOTAFroxy Success
12-27 11:28:26.118   986  1639 E SOTA    : getAppMgrStatus READY
12-27 11:28:26.314  1538  1659 E SOTA    : printSOTAVMstring,requestid:eStartInhibit,returncode:eSOTAUnblock
12-27 11:28:26.314   986  1641 E SOTA    : resp_TelematicsRequestStatus(requestId = 0, returnCode =4)
12-27 11:28:26.314   986  1639 E SOTA    : setRequestStatus()-->SOTAVM ID:0 RetCode:4 (status:0x4)
12-27 11:28:26.662  1524  1645 E WIFI    : register WiFi Station Receiver(), type:1
12-27 11:28:26.662  1524  1645 E WIFI    : WiFi Station receiver register count = 4
12-27 11:28:26.853  1734  1744 E TELE    : GET_SIM_ACTIVE_PROFILE > [53]
12-27 11:28:26.862  1734  1747 E TELE    : GET_SIM_ACTIVE_PROFILE < [53] {1}
12-27 11:28:29.267   985  1559 E DIAG    : appDTC dtcId 0x90a2 faultType 0x14 faultCnt 127
12-27 11:28:29.367   985  1559 E DIAG    : appDTC dtcId 0x917a faultType 0x13 faultCnt 127
12-27 11:28:29.385   985  1559 E DIAG    : appDTC dtcId 0xe109 faultType 0x9 faultCnt 127
12-27 11:28:29.409   985  1559 E DIAG    : appDTC dtcId 0x916d faultType 0x13 faultCnt 127
12-27 11:28:30.663   985  1559 E DIAG    : appDTC dtcId 0x9a01 faultType 0x13 faultCnt 127
12-27 11:28:30.666   985  1559 E DIAG    : appDTC dtcId 0x95e3 faultType 0x54 faultCnt 127
12-27 11:28:33.178  1542  1542 E DIAG    : onNotifyVoltage BUB Vol[0.000000]
12-27 11:28:36.555  1734  1744 E TELE    : SST(RAW)[CS:5->2][PS:2->2]
12-27 11:28:36.555  1734  1744 E TELE    : RAT switched GSM -> Unknown at cell -1
12-27 11:28:36.722  1718  3238 E DIAG    : (non-cycle)--> notify DTC. antenna(0), adc(472284), dtc(3), dfc(127), cond(1)
12-27 11:28:36.722  1718  3238 E DIAG    : (non-cycle)--> notify DTC. antenna(1), adc(474342), dtc(3), dfc(127), cond(1)
12-27 11:28:36.722  1718  3238 E DIAG    : (non-cycle)--> notify DTC. antenna(2), adc(30015), dtc(3), dfc(127), cond(1)
12-27 11:28:36.722  1718  3238 E DIAG    : (non-cycle)--> notify DTC. antenna(3), adc(472284), dtc(3), dfc(127), cond(1)
12-27 11:28:56.035  1734  1744 E TELE    : SST(RAW)[CS:2->2][PS:2->0]
12-27 11:28:59.037  1734  1747 E TELE    : UNSOL_NETWORK_REJECT_CAUSE {11}
12-27 11:28:59.058  1734  1744 E TELE    : SST(RAW)[CS:2->2][PS:0->3]
12-27 11:28:59.595  1734  1744 E TELE    : SST(RAW)[CS:2->6][PS:3->2]
12-27 11:29:00.216  1734  1747 E TELE    : UNSOL_NETWORK_REJECT_CAUSE {14}
12-27 11:29:00.231  1734  1744 E TELE    : SST(RAW)[CS:6->6][PS:2->3]
12-27 11:29:01.109  1734  1747 E TELE    : UNSOL_NETWORK_REJECT_CAUSE {11}
12-27 11:29:01.130  1734  1744 E TELE    : SST(RAW)[CS:6->6][PS:3->2]
12-27 11:29:25.771  1538  9020 E SOTA    : power mode cond: true
12-27 11:30:13.184  1542  1542 E DIAG    : onNotifyVoltage BUB Vol[0.000000]
12-27 11:30:21.851  1524  1643 E WIFI    : getBootCompletedStatus() is already finished
12-27 11:31:37.357  1734  1747 E TELE    : UNSOL_NETWORK_REJECT_CAUSE {0}
12-27 11:31:53.182  1542  1542 E DIAG    : onNotifyVoltage BUB Vol[0.000000]
12-27 11:31:54.302 26409 26409 E APP     : RVC] createApplication() RemoteServiceApp
12-27 11:31:54.302 26409 26409 E APP     : RVC] RemoteServiceApp()
12-27 11:31:54.304 26409 26446 E APP     : RVC] RemoteServiceApp onCreate() start Nov 29 2022 
12-27 11:31:54.304 26409 26446 E APP     : RVC] createTimer()
12-27 11:31:54.304 26409 26446 E APP     : RVC] initTimerStatus
12-27 11:31:54.305 26409 26446 E APP     : RVC] RemoteService_log 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:0 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:1 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:2 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:3 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:4 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:5 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:6 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:7 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:8 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:9 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:10 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:11 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:12 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:13 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:14 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:15 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:16 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:17 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:18 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:19 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:20 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] setCurrState service:21 state:1 
12-27 11:31:54.313 26409 26446 E APP     : RVC] registerReceiver start 235685
12-27 11:31:54.314 26409 26446 E APP     : RVC] registerReceiver ServiceDeathRecipient end 235686 takes 1 ms  start powerMgrService 
12-27 11:31:54.314 26409 26446 E APP     : RVC] registerReceiver_powerMgrService
12-27 11:31:54.324 26409 26446 E APP     : RVC] registerReceiver powerMgrService end 235696 takes 10 ms start diagManager
12-27 11:31:54.324 26409 26446 E APP     : RVC] registerReceiver_diagManager
12-27 11:31:54.337 26409 26446 E APP     : RVC] registerReceiver diagManager end 235708 takes 12 ms start appManager
12-27 11:31:54.337 26409 26446 E APP     : RVC] registerReceiver_appManager
12-27 11:31:54.338 26409 26446 E APP     : RVC] registerReceiver appManager end 235710 takes 2 ms start WifiService
12-27 11:31:54.338 26409 26446 E APP     : RVC] registerReceiver_WifiService
12-27 11:31:54.338 26409 26446 E APP     : RVC] registerReceiver WifiService end 235710 takes 0 ms start alarmManager
12-27 11:31:54.338 26409 26446 E APP     : RVC] registerReceiver_alarmManager
12-27 11:31:54.338 26409 26446 E APP     : RVC] registerReceiver alarmManager end 235710 takes 0 ms start ngtpManager
12-27 11:31:54.338 26409 26446 E APP     : RVC] registerReceiver_ngtpManager
12-27 11:31:54.341  1524  1645 E WIFI    : P2P registerP2pReceiver(), type:1
12-27 11:31:54.341  1524  1645 E WIFI    : P2P registerP2pRecevier() count = 1
12-27 11:31:54.356 26409 26446 E APP     : RVC] registerReceiver ngtpManager end 235728 takes 18 ms start vehicleStatusManagerService
12-27 11:31:54.356 26409 26446 E APP     : RVC] registerReceiver_vehicleStatusManagerService
12-27 11:31:54.357 26409 26446 E APP     : RVC] registerReceiver vehicleStatusManagerService end 235729 takes 1 ms start CANManagerService
12-27 11:31:54.357 26409 26446 E APP     : RVC] registerReceiver_CANManagerService
12-27 11:31:54.372 26410 26410 E APP     : [createApplication] createApplication : RVM
12-27 11:31:54.385 26410 26457 E APP     : [onCreate] RVM onCreate: Apply FIX VT-5069
12-27 11:31:54.391 26410 26457 E APP     : [initAlertStatusWithProperty] CoolantLevel=0, LowFuelLevel=0, LowBatteryAlert=0, washerFluidLevel=0
12-27 11:31:54.391 26410 26457 E APP     : [initAlertStatusWithProperty] BrakeFluidLevelWarning=0, BrakePadWearLampReq=0
12-27 11:31:54.391 26410 26457 E APP     : [initAlertStatusWithProperty] tyrePressureWarning (FL=0, FR=0, RL=0, RR=0)
12-27 11:31:54.391 26410 26457 E APP     : [initAlertStatusWithProperty] vehicleAlarm=3, EngineOilLevelWarning=0, ServiceDue=0, EngOBDMil=0
12-27 11:31:54.391 26410 26457 E APP     : [initAlertStatusWithProperty] DistanceToEngineServicewarning=0, DistanceToVehicleServiceWarning=0, TimeToEngineServiceWarning=0, TimeToVehicleServiceWarning=0
12-27 11:31:54.391 26410 26457 E APP     : [initAlertStatusWithProperty] dieselExhaustFluid=0, dieselParticuateFilter=0, isRemoteClimateAlertSentTrue=0
12-27 11:31:54.391 26410 26457 E APP     : [initAlertStatusWithProperty] cccyleTrigger=0, CACStatus=1, LastStatus=3, LastError=52, StartTime=0, LastTime=0
12-27 11:31:54.391 26410 26457 E APP     : [initVehicleStatusWithProperty] Lock=0, DoorLatchesStatuses=0, Door=0, Boot=0, Bonnet=0, SunroofOpen=0, Window=0
12-27 11:31:54.391 26410 26457 E APP     : [initVehicleStatusWithProperty] odometer(Mtr=0, DeciMiles=0), FuelGaugePosition=16, distanceToEmpty=500
12-27 11:31:54.391 26410 26457 E APP     : [initVehicleStatusWithProperty] crashStatus=0, engineCoolantTempDeg=0, distanceToUreaService=0, volumeUreaRefill=0, DistanceToEngineService=64374
12-27 11:31:54.391 26410 26457 E APP     : [initVehicleStatusWithProperty] remoteEngineStart=0, elPowerStatus=0, bsBattSOC=75, bsBsdEstimState=1, batteryHealthMsgReq=0, bSOCAbsolute=0
12-27 11:31:54.391 26410 26457 E APP     : [initVehicleStatusWithProperty] tyrePressureFL=0, tyrePressureFR=0, tyrePressureRL=0, tyrePressureRR=0
12-27 11:31:54.394 26409 26446 E APP     : RVC] registerReceiver CANManagerService end 235762 takes 33 ms start SOTAManagerService 
12-27 11:31:54.394 26409 26446 E APP     : RVC] registerReceiver_SOTAManagerService 
12-27 11:31:54.394 26409 26446 E APP     : RVC] registerReceiver SOTAManagerService end 235766 takes 4 ms
12-27 11:31:54.394 26409 26446 E APP     : RVC] getPropertyInt name : FuelLevelIndicatedHS prop:0 val:0
12-27 11:31:54.395 26409 26446 E APP     : RVC] setVehicleStatusInit prop_FuelLevelIndicated is 0 NEED TO CRANK
12-27 11:31:54.398 26409 26446 E APP     : RVC] cmsCanRx DoorLatchStatus : 0
12-27 11:31:54.399 26409 26446 E APP     : RVC] cmsCanRx DriverRearWindowPos : 0
12-27 11:31:54.399 26409 26446 E APP     : RVC] cmsCanRx PassRearWindowPos : 0
12-27 11:31:54.400 26409 26446 E APP     : RVC] cmsCanRx DriverWindowPosition : 0
12-27 11:31:54.401 26409 26446 E APP     : RVC] cmsCanRx PassWindowPosition : 0
12-27 11:31:54.402 26409 26446 E APP     : RVC] cmsCanRx SunroofOpen : 0
12-27 11:31:54.402 26409 26446 E APP     : RVC] cmsCanRx RoofPositionStatus : 0
12-27 11:31:54.402 26409 26446 E APP     : RVC] kvDBRx cfgName:VehicleType start 235774
12-27 11:31:54.420 26410 26457 E APP     : [initializeShmEV] shmget : shmid_evi result = 0 , shmid_precondiStatus result = 32769
12-27 11:31:54.420 26410 26457 E APP     : [ReadQueueFromFile] RVM_NGTPMessageQueue:ReadQueueFromFile
12-27 11:31:54.423 26410 26457 E APP     : [readQueueData] reading count from FileStore = 0
12-27 11:31:54.423 26410 26457 E APP     : [GetQueueCount] GetQueueCount : message type = [0], count = [0], total count = [0]
12-27 11:31:54.424 26410 26457 E APP     : [registerLocationService] RVM register to Location Mgr : result = 0
12-27 11:31:54.425 26410 26457 E APP     : [onPowerStateChanged] onPowerStateChanged : newState id:2, reason:0
12-27 11:31:54.425 26410 26457 E APP     : [onWakeup] onWakeup : currentState[2] reason:[1]
12-27 11:31:54.427 26410 26457 E APP     : [registerPowerService] RVM register to Power Mgr result = 0
12-27 11:31:54.432 26410 26457 E APP     : [registerPowerService] getCurrentPowerMode = 0
12-27 11:31:54.434 26410 26457 E APP     : [registerConfigService] RVM register to Config Mgr : result = 0
12-27 11:31:54.434 26410 26457 E APP     : [initConfig] initConfig()
12-27 11:31:54.449 26409 26446 E APP     : RVC] kvDBRx cfgName:VehicleType 2 value:0(0) end 235821 takes 47 ms
12-27 11:31:54.449 26409 26446 E APP     : RVC] getPropertyInt name : RPCvaliables prop:2304 val:2304
